Asset ID,Asset Name,Solo,Entity Code,SubEntity Code,Fund/LoB Name,Fund/LoB Type,Rating,Credit Quality Step,Market Value (MVi),Modified Duration,Duration,Securitization category,"F(Rating, Duration)",Capital Charge,Capital Charge UL,Credit Spread Relief Factor,LAC of TP,LAC of TP UL
6378745_LU0003_LU0003_LXEUR,LU0003 BSABS 2005-HE4 M2 MBS VAR 25.04.2035 LU0003_LXEUR_6378745_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,26.08038453,0.068494741,1,Other Securitization,1,26.08038453,0,0.054776305,1.428587097,0
25428091_LU0003_LU0003_LXEUR,LU0003 OCPE 2020-4A AR 3MEUR+88BP 144A CX2OL80J0_IE00B0C18065_EUR LU0003_LXEUR_25428091_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,898.4007785,12.30159379,12.30159379,Other Securitization,1,898.4007785,0,0.054776305,49.21107502,0
2931222_LU0003_LU0003_LXEUR,LU0003 BOAMS 2004-L 2A1 CMO VAR 25.01.2035 LU0003_LXEUR_2931222_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,59.22335599,0.068489616,1,Other Securitization,1,59.22335599,0,0.054776305,3.244036609,0
24748830_LU0003_LU0003_LXEUR,LU0003 CRNCL 2018-10X AR 3MEUR + 78BP REGS CM5C83236_IE00B0C18065_EUR LU0003_LXEUR_24748830_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,13049.50578,9.668728807,9.668728807,Other Securitization,1,13049.50578,0,0.054776305,714.8037083,0
6409357_LU0003_LU0003_LXEUR,LU0003 CWHL 2006-16 2A1 CMO FIX 6.500% 25.11.2036 LU0003_LXEUR_6409357_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,NR,unrated,71.523738,0.068490974,1,Other Securitization,1,71.523738,0,0.054776305,3.917806085,0
6224122_LU0003_LU0003_LXEUR,LU0003 AABST 2005-5 M1 MBS VAR 25.12.2035 LU0003_LXEUR_6224122_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,BBB,3,235.4971016,0.068491254,1,Other Securitization,0.197,46.39292902,0,0.054776305,2.541233228,0
6955633_LU0003_LU0003_LXEUR,LU0003 JPMAC 2006-ACC1 M1 MBS VAR 25.05.2036 LU0003_LXEUR_6955633_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,B,5,157.0477933,0.068490741,1,Other Securitization,1,157.0477933,0,0.054776305,8.602497822,0
1551612_LU0003_LU0003_LXEUR,LU0003 IMSC 2007-HOA1 A11 CMO VAR 25.07.2047 LU0003_LXEUR_1551612_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CCC,6,97.50964996,0.068494905,1,Other Securitization,1,97.50964996,0,0.054776305,5.341218323,0
1928331_LU0003_LU0003_LXEUR,LU0003 CWL 2006-21 2A3 MBS VAR 25.05.2037 LU0003_LXEUR_1928331_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,CC,6,148.0473577,0.068926395,1,Other Securitization,1,148.0473577,0,0.054776305,8.109487213,0
16974089_LU0003_LU0003_LXEUR,LU0003 MVW 2015-10A AR CDO VAR 13.10.2027 LU0003_LXEUR_16974089_LU0003_LU0003_LXEUR,RC630,RC630,,LU0003_LXEUR,PROFIT_PART,AAA,0,1236.553267,0.03561463,1,Other Securitization,0.125,154.5691583,0,0.054776305,8.466727356,0
